Deaths,month_year,time
120,2018-01-01,1
81,2018-02-01,2
118,2018-03-01,3
100,2018-04-01,4
93,2018-05-01,5
104,2018-06-01,6
112,2018-07-01,7
105,2018-08-01,8
92,2018-09-01,9
79,2018-10-01,10
86,2018-11-01,11
92,2018-12-01,12
106,2019-01-01,13
105,2019-02-01,14
113,2019-03-01,15
84,2019-04-01,16
121,2019-05-01,17
118,2019-06-01,18
95,2019-07-01,19
108,2019-08-01,20
111,2019-09-01,21
117,2019-10-01,22
131,2019-11-01,23
135,2019-12-01,24
137,2020-01-01,25
108,2020-02-01,26
140,2020-03-01,27
125,2020-04-01,28
141,2020-05-01,29
147,2020-06-01,30
146,2020-07-01,31
152,2020-08-01,32
135,2020-09-01,33
167,2020-10-01,34
173,2020-11-01,35
175,2020-12-01,36
161,2021-01-01,37
140,2021-02-01,38
132,2021-03-01,39
161,2021-04-01,40
173,2021-05-01,41
176,2021-06-01,42
155,2021-07-01,43
166,2021-08-01,44
173,2021-09-01,45
180,2021-10-01,46
153,2021-11-01,47
169,2021-12-01,48
170,2022-01-01,49
141,2022-02-01,50
134,2022-03-01,51
143,2022-04-01,52
175,2022-05-01,53
176,2022-06-01,54
140,2022-07-01,55
152,2022-08-01,56
140,2022-09-01,57
144,2022-10-01,58
123,2022-11-01,59
133,2022-12-01,60
166,2023-01-01,61
120,2023-02-01,62
138,2023-03-01,63
140,2023-04-01,64
149,2023-05-01,65
131,2023-06-01,66
150,2023-07-01,67
138,2023-08-01,68
142,2023-09-01,69
135,2023-10-01,70
122,2023-11-01,71
138,2023-12-01,72
