Deaths,month_year,bill8,time
436,2018-01-01,FALSE,1
378,2018-02-01,FALSE,2
354,2018-03-01,FALSE,3
336,2018-04-01,FALSE,4
380,2018-05-01,FALSE,5
355,2018-06-01,FALSE,6
384,2018-07-01,FALSE,7
360,2018-08-01,FALSE,8
371,2018-09-01,FALSE,9
363,2018-10-01,FALSE,10
371,2018-11-01,FALSE,11
378,2018-12-01,FALSE,12
374,2019-01-01,FALSE,13
348,2019-02-01,FALSE,14
390,2019-03-01,FALSE,15
399,2019-04-01,FALSE,16
367,2019-05-01,FALSE,17
361,2019-06-01,FALSE,18
377,2019-07-01,FALSE,19
399,2019-08-01,FALSE,20
364,2019-09-01,FALSE,21
385,2019-10-01,FALSE,22
397,2019-11-01,FALSE,23
419,2019-12-01,FALSE,24
428,2020-01-01,FALSE,25
358,2020-02-01,FALSE,26
385,2020-03-01,FALSE,27
426,2020-04-01,FALSE,28
430,2020-05-01,FALSE,29
492,2020-06-01,FALSE,30
595,2020-07-01,FALSE,31
526,2020-08-01,FALSE,32
483,2020-09-01,FALSE,33
452,2020-10-01,FALSE,34
522,2020-11-01,FALSE,35
513,2020-12-01,FALSE,36
582,2021-01-01,FALSE,37
491,2021-02-01,FALSE,38
554,2021-03-01,FALSE,39
474,2021-04-01,FALSE,40
500,2021-05-01,FALSE,41
492,2021-06-01,FALSE,42
504,2021-07-01,FALSE,43
826,2021-08-01,FALSE,44
859,2021-09-01,TRUE,45
671,2021-10-01,TRUE,46
491,2021-11-01,TRUE,47
524,2021-12-01,TRUE,48
619,2022-01-01,TRUE,49
507,2022-02-01,TRUE,50
528,2022-03-01,TRUE,51
447,2022-04-01,TRUE,52
494,2022-05-01,TRUE,53
474,2022-06-01,TRUE,54
510,2022-07-01,TRUE,55
416,2022-08-01,TRUE,56
501,2022-09-01,TRUE,57
470,2022-10-01,TRUE,58
473,2022-11-01,TRUE,59
537,2022-12-01,TRUE,60
477,2023-01-01,TRUE,61
427,2023-02-01,TRUE,62
460,2023-03-01,TRUE,63
460,2023-04-01,TRUE,64
501,2023-05-01,TRUE,65
463,2023-06-01,TRUE,66
471,2023-07-01,TRUE,67
473,2023-08-01,TRUE,68
456,2023-09-01,TRUE,69
528,2023-10-01,TRUE,70
482,2023-11-01,TRUE,71
492,2023-12-01,TRUE,72
