Deaths,month_year,time
899,2018-01-01,1
726,2018-02-01,2
759,2018-03-01,3
741,2018-04-01,4
810,2018-05-01,5
835,2018-06-01,6
819,2018-07-01,7
742,2018-08-01,8
753,2018-09-01,9
750,2018-10-01,10
804,2018-11-01,11
734,2018-12-01,12
736,2019-01-01,13
711,2019-02-01,14
842,2019-03-01,15
795,2019-04-01,16
834,2019-05-01,17
796,2019-06-01,18
842,2019-07-01,19
799,2019-08-01,20
811,2019-09-01,21
833,2019-10-01,22
841,2019-11-01,23
877,2019-12-01,24
847,2020-01-01,25
809,2020-02-01,26
894,2020-03-01,27
902,2020-04-01,28
1046,2020-05-01,29
1086,2020-06-01,30
1284,2020-07-01,31
1207,2020-08-01,32
951,2020-09-01,33
1031,2020-10-01,34
1039,2020-11-01,35
1156,2020-12-01,36
1218,2021-01-01,37
1038,2021-02-01,38
1079,2021-03-01,39
1113,2021-04-01,40
1124,2021-05-01,41
1207,2021-06-01,42
1153,2021-07-01,43
1657,2021-08-01,44
1887,2021-09-01,45
1400,2021-10-01,46
1131,2021-11-01,47
1165,2021-12-01,48
1251,2022-01-01,49
1100,2022-02-01,50
1068,2022-03-01,51
978,2022-04-01,52
1078,2022-05-01,53
1128,2022-06-01,54
1200,2022-07-01,55
1141,2022-08-01,56
1034,2022-09-01,57
1012,2022-10-01,58
1006,2022-11-01,59
1111,2022-12-01,60
1121,2023-01-01,61
929,2023-02-01,62
1056,2023-03-01,63
994,2023-04-01,64
1065,2023-05-01,65
1095,2023-06-01,66
1125,2023-07-01,67
1096,2023-08-01,68
1047,2023-09-01,69
984,2023-10-01,70
941,2023-11-01,71
1016,2023-12-01,72
