Deaths,month_year,bill8,time
16,2018-01-01,FALSE,1
16,2018-02-01,FALSE,2
17,2018-03-01,FALSE,3
26,2018-04-01,FALSE,4
17,2018-05-01,FALSE,5
11,2018-06-01,FALSE,6
19,2018-07-01,FALSE,7
20,2018-08-01,FALSE,8
23,2018-09-01,FALSE,9
15,2018-10-01,FALSE,10
21,2018-11-01,FALSE,11
22,2018-12-01,FALSE,12
10,2019-01-01,FALSE,13
24,2019-02-01,FALSE,14
23,2019-03-01,FALSE,15
16,2019-04-01,FALSE,16
13,2019-06-01,FALSE,17
22,2019-07-01,FALSE,18
21,2019-08-01,FALSE,19
10,2019-10-01,FALSE,20
12,2019-11-01,FALSE,21
22,2019-12-01,FALSE,22
21,2020-01-01,FALSE,23
16,2020-02-01,FALSE,24
19,2020-03-01,FALSE,25
23,2020-04-01,FALSE,26
23,2020-05-01,FALSE,27
23,2020-06-01,FALSE,28
24,2020-07-01,FALSE,29
32,2020-08-01,FALSE,30
23,2020-09-01,FALSE,31
27,2020-10-01,FALSE,32
24,2020-11-01,FALSE,33
23,2020-12-01,FALSE,34
19,2021-01-01,FALSE,35
20,2021-02-01,FALSE,36
25,2021-03-01,FALSE,37
24,2021-04-01,FALSE,38
23,2021-05-01,FALSE,39
22,2021-06-01,FALSE,40
25,2021-07-01,FALSE,41
20,2021-08-01,TRUE,42
35,2021-09-01,TRUE,43
24,2021-10-01,TRUE,44
16,2021-11-01,TRUE,45
16,2021-12-01,TRUE,46
27,2022-01-01,TRUE,47
30,2022-02-01,TRUE,48
26,2022-03-01,TRUE,49
23,2022-04-01,TRUE,50
21,2022-05-01,TRUE,51
32,2022-06-01,TRUE,52
22,2022-07-01,TRUE,53
20,2022-08-01,TRUE,54
32,2022-09-01,TRUE,55
14,2022-10-01,TRUE,56
25,2022-11-01,TRUE,57
22,2022-12-01,TRUE,58
21,2023-01-01,TRUE,59
19,2023-02-01,TRUE,60
21,2023-03-01,TRUE,61
21,2023-04-01,TRUE,62
19,2023-05-01,TRUE,63
25,2023-06-01,TRUE,64
28,2023-07-01,TRUE,65
19,2023-08-01,TRUE,66
24,2023-09-01,TRUE,67
20,2023-10-01,TRUE,68
19,2023-11-01,TRUE,69
34,2023-12-01,TRUE,70
17,2024-01-01,TRUE,71
25,2024-02-01,TRUE,72
17,2024-03-01,TRUE,73
18,2024-04-01,TRUE,74
25,2024-05-01,TRUE,75
13,2024-06-01,TRUE,76
18,2024-07-01,TRUE,77
23,2024-08-01,TRUE,78
22,2024-09-01,TRUE,79
21,2024-10-01,TRUE,80
12,2024-11-01,TRUE,81
11,2024-12-01,TRUE,82
15,2025-01-01,TRUE,83
16,2025-02-01,TRUE,84
14,2025-03-01,TRUE,85
15,2025-04-01,TRUE,86
10,2025-05-01,TRUE,87
18,2025-06-01,TRUE,88
