Deaths,month_year,sex,time
16,2018-01-01,Female,1
89,2018-01-01,Male,1
16,2018-02-01,Female,2
53,2018-02-01,Male,2
17,2018-03-01,Female,3
90,2018-03-01,Male,3
26,2018-04-01,Female,4
71,2018-04-01,Male,4
17,2018-05-01,Female,5
63,2018-05-01,Male,5
11,2018-06-01,Female,6
82,2018-06-01,Male,6
19,2018-07-01,Female,7
78,2018-07-01,Male,7
20,2018-08-01,Female,8
71,2018-08-01,Male,8
23,2018-09-01,Female,9
70,2018-09-01,Male,9
15,2018-10-01,Female,10
57,2018-10-01,Male,10
21,2018-11-01,Female,11
61,2018-11-01,Male,11
22,2018-12-01,Female,12
64,2018-12-01,Male,12
10,2019-01-01,Female,13
73,2019-01-01,Male,13
24,2019-02-01,Female,14
74,2019-02-01,Male,14
23,2019-03-01,Female,15
82,2019-03-01,Male,15
16,2019-04-01,Female,16
65,2019-04-01,Male,16
11,2019-05-01,Female,17
98,2019-05-01,Male,17
13,2019-06-01,Female,18
80,2019-06-01,Male,18
22,2019-07-01,Female,19
67,2019-07-01,Male,19
21,2019-08-01,Female,20
77,2019-08-01,Male,20
7,2019-09-01,Female,21
89,2019-09-01,Male,21
10,2019-10-01,Female,22
81,2019-10-01,Male,22
12,2019-11-01,Female,23
95,2019-11-01,Male,23
22,2019-12-01,Female,24
103,2019-12-01,Male,24
21,2020-01-01,Female,25
104,2020-01-01,Male,25
16,2020-02-01,Female,26
75,2020-02-01,Male,26
19,2020-03-01,Female,27
94,2020-03-01,Male,27
23,2020-04-01,Female,28
95,2020-04-01,Male,28
23,2020-05-01,Female,29
107,2020-05-01,Male,29
23,2020-06-01,Female,30
102,2020-06-01,Male,30
24,2020-07-01,Female,31
108,2020-07-01,Male,31
32,2020-08-01,Female,32
113,2020-08-01,Male,32
23,2020-09-01,Female,33
100,2020-09-01,Male,33
27,2020-10-01,Female,34
135,2020-10-01,Male,34
24,2020-11-01,Female,35
136,2020-11-01,Male,35
23,2020-12-01,Female,36
137,2020-12-01,Male,36
19,2021-01-01,Female,37
127,2021-01-01,Male,37
20,2021-02-01,Female,38
99,2021-02-01,Male,38
25,2021-03-01,Female,39
104,2021-03-01,Male,39
24,2021-04-01,Female,40
124,2021-04-01,Male,40
23,2021-05-01,Female,41
137,2021-05-01,Male,41
22,2021-06-01,Female,42
131,2021-06-01,Male,42
25,2021-07-01,Female,43
119,2021-07-01,Male,43
20,2021-08-01,Female,44
119,2021-08-01,Male,44
35,2021-09-01,Female,45
136,2021-09-01,Male,45
24,2021-10-01,Female,46
135,2021-10-01,Male,46
16,2021-11-01,Female,47
115,2021-11-01,Male,47
16,2021-12-01,Female,48
136,2021-12-01,Male,48
27,2022-01-01,Female,49
134,2022-01-01,Male,49
30,2022-02-01,Female,50
109,2022-02-01,Male,50
26,2022-03-01,Female,51
99,2022-03-01,Male,51
23,2022-04-01,Female,52
99,2022-04-01,Male,52
21,2022-05-01,Female,53
127,2022-05-01,Male,53
32,2022-06-01,Female,54
122,2022-06-01,Male,54
22,2022-07-01,Female,55
104,2022-07-01,Male,55
20,2022-08-01,Female,56
106,2022-08-01,Male,56
32,2022-09-01,Female,57
105,2022-09-01,Male,57
14,2022-10-01,Female,58
92,2022-10-01,Male,58
25,2022-11-01,Female,59
88,2022-11-01,Male,59
22,2022-12-01,Female,60
101,2022-12-01,Male,60
21,2023-01-01,Female,61
126,2023-01-01,Male,61
19,2023-02-01,Female,62
80,2023-02-01,Male,62
21,2023-03-01,Female,63
95,2023-03-01,Male,63
21,2023-04-01,Female,64
107,2023-04-01,Male,64
19,2023-05-01,Female,65
120,2023-05-01,Male,65
25,2023-06-01,Female,66
89,2023-06-01,Male,66
28,2023-07-01,Female,67
116,2023-07-01,Male,67
19,2023-08-01,Female,68
98,2023-08-01,Male,68
24,2023-09-01,Female,69
103,2023-09-01,Male,69
20,2023-10-01,Female,70
99,2023-10-01,Male,70
19,2023-11-01,Female,71
86,2023-11-01,Male,71
34,2023-12-01,Female,72
101,2023-12-01,Male,72
17,2024-01-01,Female,73
25,2024-02-01,Female,74
17,2024-03-01,Female,75
18,2024-04-01,Female,76
25,2024-05-01,Female,77
13,2024-06-01,Female,78
18,2024-07-01,Female,79
23,2024-08-01,Female,80
22,2024-09-01,Female,81
21,2024-10-01,Female,82
12,2024-11-01,Female,83
11,2024-12-01,Female,84
NA,NA,Female,85
NA,NA,Female,86
NA,NA,Female,87
NA,NA,Female,88
NA,NA,Female,89
NA,NA,Female,90
NA,NA,Female,91
NA,NA,Female,92
NA,NA,Female,93
NA,NA,Female,94
NA,NA,Female,95
NA,NA,Female,96
NA,NA,Female,97
NA,NA,Female,98
NA,NA,Female,99
NA,NA,Female,100
NA,NA,Female,101
NA,NA,Female,102
NA,NA,Female,103
NA,NA,Female,104
NA,NA,Female,105
NA,NA,Female,106
NA,NA,Female,107
NA,NA,Female,108
NA,NA,Female,109
NA,NA,Female,110
NA,NA,Female,111
NA,NA,Female,112
NA,NA,Female,113
NA,NA,Female,114
NA,NA,Female,115
NA,NA,Female,116
NA,NA,Female,117
NA,NA,Female,118
