Deaths,month_year
89,2018-01-01
53,2018-02-01
90,2018-03-01
71,2018-04-01
63,2018-05-01
82,2018-06-01
78,2018-07-01
71,2018-08-01
70,2018-09-01
57,2018-10-01
61,2018-11-01
64,2018-12-01
73,2019-01-01
74,2019-02-01
82,2019-03-01
65,2019-04-01
98,2019-05-01
80,2019-06-01
67,2019-07-01
77,2019-08-01
89,2019-09-01
81,2019-10-01
95,2019-11-01
103,2019-12-01
104,2020-01-01
75,2020-02-01
94,2020-03-01
95,2020-04-01
107,2020-05-01
102,2020-06-01
108,2020-07-01
113,2020-08-01
100,2020-09-01
135,2020-10-01
136,2020-11-01
137,2020-12-01
127,2021-01-01
99,2021-02-01
104,2021-03-01
124,2021-04-01
137,2021-05-01
131,2021-06-01
119,2021-07-01
119,2021-08-01
136,2021-09-01
135,2021-10-01
115,2021-11-01
136,2021-12-01
134,2022-01-01
109,2022-02-01
99,2022-03-01
99,2022-04-01
127,2022-05-01
122,2022-06-01
104,2022-07-01
106,2022-08-01
105,2022-09-01
92,2022-10-01
88,2022-11-01
101,2022-12-01
126,2023-01-01
80,2023-02-01
95,2023-03-01
107,2023-04-01
120,2023-05-01
89,2023-06-01
116,2023-07-01
98,2023-08-01
103,2023-09-01
99,2023-10-01
86,2023-11-01
101,2023-12-01
89,2024-01-01
81,2024-02-01
74,2024-03-01
102,2024-04-01
99,2024-05-01
83,2024-06-01
104,2024-07-01
80,2024-08-01
79,2024-09-01
102,2024-10-01
93,2024-11-01
81,2024-12-01
