Deaths,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,month_year,bill8,time
194,Not Applicable,Not Applicable,2018-01-01,FALSE,1
149,Not Applicable,Not Applicable,2018-02-01,FALSE,2
170,Not Applicable,Not Applicable,2018-03-01,FALSE,3
183,Not Applicable,Not Applicable,2018-04-01,FALSE,4
165,Not Applicable,Not Applicable,2018-05-01,FALSE,5
182,Not Applicable,Not Applicable,2018-06-01,FALSE,6
167,Not Applicable,Not Applicable,2018-07-01,FALSE,7
164,Not Applicable,Not Applicable,2018-08-01,FALSE,8
157,Not Applicable,Not Applicable,2018-09-01,FALSE,9
133,Not Applicable,Not Applicable,2018-10-01,FALSE,10
164,Not Applicable,Not Applicable,2018-11-01,FALSE,11
148,Not Applicable,Not Applicable,2018-12-01,FALSE,12
158,Not Applicable,Not Applicable,2019-01-01,FALSE,13
140,Not Applicable,Not Applicable,2019-02-01,FALSE,14
170,Not Applicable,Not Applicable,2019-03-01,FALSE,15
143,Not Applicable,Not Applicable,2019-04-01,FALSE,16
175,Not Applicable,Not Applicable,2019-05-01,FALSE,17
160,Not Applicable,Not Applicable,2019-06-01,FALSE,18
197,Not Applicable,Not Applicable,2019-07-01,FALSE,19
176,Not Applicable,Not Applicable,2019-08-01,FALSE,20
162,Not Applicable,Not Applicable,2019-09-01,FALSE,21
163,Not Applicable,Not Applicable,2019-10-01,FALSE,22
172,Not Applicable,Not Applicable,2019-11-01,FALSE,23
168,Not Applicable,Not Applicable,2019-12-01,FALSE,24
157,Not Applicable,Not Applicable,2020-01-01,FALSE,25
166,Not Applicable,Not Applicable,2020-02-01,FALSE,26
187,Not Applicable,Not Applicable,2020-03-01,FALSE,27
173,Not Applicable,Not Applicable,2020-04-01,FALSE,28
191,Not Applicable,Not Applicable,2020-05-01,FALSE,29
243,Not Applicable,Not Applicable,2020-06-01,FALSE,30
244,Not Applicable,Not Applicable,2020-07-01,FALSE,31
212,Not Applicable,Not Applicable,2020-08-01,FALSE,32
223,Not Applicable,Not Applicable,2020-09-01,FALSE,33
225,Not Applicable,Not Applicable,2020-10-01,FALSE,34
204,Not Applicable,Not Applicable,2020-11-01,FALSE,35
222,Not Applicable,Not Applicable,2020-12-01,FALSE,36
226,Not Applicable,Not Applicable,2021-01-01,FALSE,37
179,Not Applicable,Not Applicable,2021-02-01,FALSE,38
205,Not Applicable,Not Applicable,2021-03-01,FALSE,39
204,Not Applicable,Not Applicable,2021-04-01,FALSE,40
287,Not Applicable,Not Applicable,2021-05-01,FALSE,41
238,Not Applicable,Not Applicable,2021-06-01,FALSE,42
260,Not Applicable,Not Applicable,2021-07-01,FALSE,43
225,Not Applicable,Not Applicable,2021-08-01,FALSE,44
234,Not Applicable,Not Applicable,2021-09-01,TRUE,45
251,Not Applicable,Not Applicable,2021-10-01,TRUE,46
222,Not Applicable,Not Applicable,2021-11-01,TRUE,47
223,Not Applicable,Not Applicable,2021-12-01,TRUE,48
237,Not Applicable,Not Applicable,2022-01-01,TRUE,49
176,Not Applicable,Not Applicable,2022-02-01,TRUE,50
191,Not Applicable,Not Applicable,2022-03-01,TRUE,51
213,Not Applicable,Not Applicable,2022-04-01,TRUE,52
232,Not Applicable,Not Applicable,2022-05-01,TRUE,53
214,Not Applicable,Not Applicable,2022-06-01,TRUE,54
254,Not Applicable,Not Applicable,2022-07-01,TRUE,55
255,Not Applicable,Not Applicable,2022-08-01,TRUE,56
208,Not Applicable,Not Applicable,2022-09-01,TRUE,57
197,Not Applicable,Not Applicable,2022-10-01,TRUE,58
197,Not Applicable,Not Applicable,2022-11-01,TRUE,59
212,Not Applicable,Not Applicable,2022-12-01,TRUE,60
195,Not Applicable,Not Applicable,2023-01-01,TRUE,61
166,Not Applicable,Not Applicable,2023-02-01,TRUE,62
200,Not Applicable,Not Applicable,2023-03-01,TRUE,63
194,Not Applicable,Not Applicable,2023-04-01,TRUE,64
195,Not Applicable,Not Applicable,2023-05-01,TRUE,65
181,Not Applicable,Not Applicable,2023-06-01,TRUE,66
230,Not Applicable,Not Applicable,2023-07-01,TRUE,67
216,Not Applicable,Not Applicable,2023-08-01,TRUE,68
193,Not Applicable,Not Applicable,2023-09-01,TRUE,69
177,Not Applicable,Not Applicable,2023-10-01,TRUE,70
184,Not Applicable,Not Applicable,2023-11-01,TRUE,71
192,Not Applicable,Not Applicable,2023-12-01,TRUE,72
