race_eth,Deaths,month_year
American Indian or Alaska Native,NA,2018-01-01
American Indian or Alaska Native,NA,2018-02-01
American Indian or Alaska Native,NA,2018-03-01
American Indian or Alaska Native,NA,2018-04-01
American Indian or Alaska Native,NA,2018-05-01
American Indian or Alaska Native,NA,2018-06-01
American Indian or Alaska Native,NA,2018-07-01
American Indian or Alaska Native,NA,2018-08-01
American Indian or Alaska Native,NA,2018-09-01
American Indian or Alaska Native,NA,2018-10-01
American Indian or Alaska Native,NA,2018-11-01
American Indian or Alaska Native,NA,2018-12-01
American Indian or Alaska Native,NA,2019-01-01
American Indian or Alaska Native,NA,2019-02-01
American Indian or Alaska Native,NA,2019-03-01
American Indian or Alaska Native,NA,2019-04-01
American Indian or Alaska Native,NA,2019-05-01
American Indian or Alaska Native,NA,2019-06-01
American Indian or Alaska Native,NA,2019-07-01
American Indian or Alaska Native,NA,2019-08-01
American Indian or Alaska Native,NA,2019-09-01
American Indian or Alaska Native,NA,2019-10-01
American Indian or Alaska Native,NA,2019-11-01
American Indian or Alaska Native,NA,2019-12-01
American Indian or Alaska Native,NA,2020-01-01
American Indian or Alaska Native,NA,2020-02-01
American Indian or Alaska Native,NA,2020-03-01
American Indian or Alaska Native,NA,2020-04-01
American Indian or Alaska Native,NA,2020-05-01
American Indian or Alaska Native,NA,2020-06-01
American Indian or Alaska Native,NA,2020-07-01
American Indian or Alaska Native,NA,2020-09-01
American Indian or Alaska Native,NA,2020-10-01
American Indian or Alaska Native,NA,2020-11-01
American Indian or Alaska Native,NA,2020-12-01
American Indian or Alaska Native,NA,2021-02-01
American Indian or Alaska Native,NA,2021-03-01
American Indian or Alaska Native,NA,2021-04-01
American Indian or Alaska Native,NA,2021-05-01
American Indian or Alaska Native,NA,2021-06-01
American Indian or Alaska Native,NA,2021-09-01
American Indian or Alaska Native,NA,2021-11-01
American Indian or Alaska Native,NA,2022-01-01
American Indian or Alaska Native,NA,2022-02-01
American Indian or Alaska Native,NA,2022-03-01
American Indian or Alaska Native,NA,2022-04-01
American Indian or Alaska Native,NA,2022-05-01
American Indian or Alaska Native,NA,2022-06-01
American Indian or Alaska Native,NA,2022-07-01
American Indian or Alaska Native,NA,2022-08-01
American Indian or Alaska Native,NA,2022-09-01
American Indian or Alaska Native,NA,2022-10-01
American Indian or Alaska Native,NA,2022-11-01
American Indian or Alaska Native,NA,2022-12-01
American Indian or Alaska Native,NA,2023-01-01
American Indian or Alaska Native,NA,2023-02-01
American Indian or Alaska Native,NA,2023-03-01
American Indian or Alaska Native,NA,2023-04-01
American Indian or Alaska Native,NA,2023-06-01
American Indian or Alaska Native,NA,2023-07-01
American Indian or Alaska Native,NA,2023-08-01
American Indian or Alaska Native,NA,2023-09-01
American Indian or Alaska Native,NA,2023-10-01
American Indian or Alaska Native,NA,2023-11-01
American Indian or Alaska Native,NA,2023-12-01
Asian,NA,2018-01-01
Asian,NA,2018-02-01
Asian,NA,2018-03-01
Asian,NA,2018-04-01
Asian,NA,2018-05-01
Asian,NA,2018-06-01
Asian,NA,2018-07-01
Asian,NA,2018-08-01
Asian,NA,2018-09-01
Asian,NA,2018-10-01
Asian,NA,2018-11-01
Asian,NA,2018-12-01
Asian,NA,2019-01-01
Asian,NA,2019-02-01
Asian,NA,2019-03-01
Asian,NA,2019-04-01
Asian,NA,2019-05-01
Asian,NA,2019-06-01
Asian,NA,2019-07-01
Asian,NA,2019-08-01
Asian,NA,2019-09-01
Asian,NA,2019-10-01
Asian,NA,2019-11-01
Asian,NA,2019-12-01
Asian,NA,2020-01-01
Asian,NA,2020-02-01
Asian,NA,2020-03-01
Asian,NA,2020-04-01
Asian,NA,2020-05-01
Asian,NA,2020-07-01
Asian,NA,2020-08-01
Asian,NA,2021-06-01
Asian,NA,2021-07-01
Asian,NA,2021-11-01
Asian,NA,2022-01-01
Asian,NA,2022-04-01
Asian,NA,2022-05-01
Asian,NA,2022-06-01
Asian,NA,2022-07-01
Asian,NA,2022-08-01
Asian,NA,2022-09-01
Asian,NA,2022-11-01
Asian,NA,2023-01-01
Asian,NA,2023-02-01
Asian,NA,2023-04-01
Asian,NA,2023-05-01
Asian,NA,2023-06-01
Asian,NA,2023-07-01
Asian,NA,2023-08-01
Asian,NA,2023-09-01
Asian,NA,2023-10-01
Asian,NA,2023-11-01
Asian,NA,2023-12-01
Black or African American,NA,2018-01-01
Black or African American,NA,2018-02-01
Black or African American,NA,2018-03-01
Black or African American,NA,2018-04-01
Black or African American,NA,2018-05-01
Black or African American,NA,2018-06-01
Black or African American,NA,2018-07-01
Black or African American,NA,2018-08-01
Black or African American,NA,2018-09-01
Black or African American,NA,2018-10-01
Black or African American,NA,2018-11-01
Black or African American,NA,2018-12-01
Black or African American,NA,2019-01-01
Black or African American,NA,2019-02-01
Black or African American,NA,2019-03-01
Black or African American,NA,2019-04-01
Black or African American,NA,2019-05-01
Black or African American,NA,2019-06-01
Black or African American,NA,2019-07-01
Black or African American,NA,2019-08-01
Black or African American,NA,2019-09-01
Black or African American,NA,2019-10-01
Black or African American,NA,2019-11-01
Black or African American,NA,2019-12-01
Black or African American,NA,2020-01-01
Black or African American,NA,2020-02-01
Black or African American,NA,2020-03-01
Black or African American,19,2020-07-01
Black or African American,11,2020-10-01
Black or African American,10,2020-11-01
Black or African American,18,2020-12-01
Black or African American,20,2021-01-01
Black or African American,18,2021-02-01
Black or African American,16,2021-03-01
Black or African American,75,2021-08-01
Black or African American,86,2021-09-01
Black or African American,40,2021-10-01
Black or African American,11,2021-12-01
Black or African American,20,2022-01-01
Black or African American,14,2022-02-01
Black or African American,NA,2023-04-01
Black or African American,NA,2023-05-01
Black or African American,NA,2023-06-01
Black or African American,NA,2023-07-01
Hispanic,NA,2018-01-01
Hispanic,NA,2018-02-01
Hispanic,NA,2018-03-01
Hispanic,NA,2018-04-01
Hispanic,NA,2018-05-01
Hispanic,NA,2018-06-01
Hispanic,NA,2018-07-01
Hispanic,NA,2018-08-01
Hispanic,NA,2018-09-01
Hispanic,NA,2018-10-01
Hispanic,NA,2018-11-01
Hispanic,NA,2018-12-01
Hispanic,NA,2019-01-01
Hispanic,NA,2019-02-01
Hispanic,NA,2019-03-01
Hispanic,NA,2019-04-01
Hispanic,NA,2019-05-01
Hispanic,NA,2019-06-01
Hispanic,NA,2019-07-01
Hispanic,NA,2019-08-01
Hispanic,NA,2019-09-01
Hispanic,NA,2019-10-01
Hispanic,NA,2019-11-01
Hispanic,NA,2019-12-01
Hispanic,NA,2020-01-01
Hispanic,NA,2020-02-01
Hispanic,19,2020-06-01
Hispanic,89,2020-07-01
Hispanic,53,2020-08-01
Hispanic,31,2020-09-01
Hispanic,31,2020-10-01
Hispanic,44,2020-11-01
Hispanic,51,2020-12-01
Hispanic,69,2021-01-01
Hispanic,40,2021-02-01
Hispanic,29,2021-03-01
Hispanic,21,2021-04-01
Hispanic,21,2021-05-01
Hispanic,19,2021-06-01
Hispanic,28,2021-07-01
Hispanic,162,2021-08-01
Hispanic,189,2021-09-01
Hispanic,106,2021-10-01
Hispanic,40,2021-11-01
Hispanic,38,2021-12-01
Hispanic,65,2022-01-01
Hispanic,29,2022-02-01
Hispanic,10,2022-03-01
Hispanic,NA,2023-01-01
Hispanic,NA,2023-07-01
Hispanic,NA,2023-10-01
More than one race,NA,2018-01-01
More than one race,NA,2018-02-01
More than one race,NA,2018-03-01
More than one race,NA,2018-04-01
More than one race,NA,2018-05-01
More than one race,NA,2018-06-01
More than one race,NA,2018-07-01
More than one race,NA,2018-08-01
More than one race,NA,2018-09-01
More than one race,NA,2018-10-01
More than one race,NA,2018-11-01
More than one race,NA,2018-12-01
More than one race,NA,2019-01-01
More than one race,NA,2019-02-01
More than one race,NA,2019-03-01
More than one race,NA,2019-04-01
More than one race,NA,2019-05-01
More than one race,NA,2019-06-01
More than one race,NA,2019-07-01
More than one race,NA,2019-08-01
More than one race,NA,2019-09-01
More than one race,NA,2019-10-01
More than one race,NA,2019-11-01
More than one race,NA,2019-12-01
More than one race,NA,2020-01-01
More than one race,NA,2020-02-01
More than one race,NA,2020-03-01
More than one race,NA,2020-04-01
More than one race,NA,2020-05-01
More than one race,NA,2020-06-01
More than one race,NA,2020-07-01
More than one race,NA,2020-08-01
More than one race,NA,2020-09-01
More than one race,NA,2020-10-01
More than one race,NA,2020-11-01
More than one race,NA,2020-12-01
More than one race,NA,2021-01-01
More than one race,NA,2021-02-01
More than one race,NA,2021-03-01
More than one race,NA,2021-04-01
More than one race,NA,2021-05-01
More than one race,NA,2021-06-01
More than one race,NA,2021-07-01
More than one race,NA,2021-09-01
More than one race,NA,2021-10-01
More than one race,NA,2021-11-01
More than one race,NA,2021-12-01
More than one race,NA,2022-01-01
More than one race,NA,2022-02-01
More than one race,NA,2022-03-01
More than one race,NA,2022-04-01
More than one race,NA,2022-05-01
More than one race,NA,2022-06-01
More than one race,NA,2022-07-01
More than one race,NA,2022-08-01
More than one race,NA,2022-09-01
More than one race,NA,2022-10-01
More than one race,NA,2022-11-01
More than one race,NA,2022-12-01
More than one race,NA,2023-01-01
More than one race,NA,2023-02-01
More than one race,NA,2023-03-01
More than one race,NA,2023-04-01
More than one race,NA,2023-05-01
More than one race,NA,2023-06-01
More than one race,NA,2023-07-01
More than one race,NA,2023-08-01
More than one race,NA,2023-09-01
More than one race,NA,2023-10-01
More than one race,NA,2023-11-01
More than one race,NA,2023-12-01
Native Hawaiian or Other Pacific Islander,NA,2018-01-01
Native Hawaiian or Other Pacific Islander,NA,2018-02-01
Native Hawaiian or Other Pacific Islander,NA,2018-03-01
Native Hawaiian or Other Pacific Islander,NA,2018-04-01
Native Hawaiian or Other Pacific Islander,NA,2018-05-01
Native Hawaiian or Other Pacific Islander,NA,2018-06-01
Native Hawaiian or Other Pacific Islander,NA,2018-07-01
Native Hawaiian or Other Pacific Islander,NA,2018-08-01
Native Hawaiian or Other Pacific Islander,NA,2018-09-01
Native Hawaiian or Other Pacific Islander,NA,2018-10-01
Native Hawaiian or Other Pacific Islander,NA,2018-11-01
Native Hawaiian or Other Pacific Islander,NA,2018-12-01
Native Hawaiian or Other Pacific Islander,NA,2019-01-01
Native Hawaiian or Other Pacific Islander,NA,2019-02-01
Native Hawaiian or Other Pacific Islander,NA,2019-03-01
Native Hawaiian or Other Pacific Islander,NA,2019-04-01
Native Hawaiian or Other Pacific Islander,NA,2019-05-01
Native Hawaiian or Other Pacific Islander,NA,2019-06-01
Native Hawaiian or Other Pacific Islander,NA,2019-07-01
Native Hawaiian or Other Pacific Islander,NA,2019-08-01
Native Hawaiian or Other Pacific Islander,NA,2019-09-01
Native Hawaiian or Other Pacific Islander,NA,2019-10-01
Native Hawaiian or Other Pacific Islander,NA,2019-11-01
Native Hawaiian or Other Pacific Islander,NA,2019-12-01
Native Hawaiian or Other Pacific Islander,NA,2020-01-01
Native Hawaiian or Other Pacific Islander,NA,2020-02-01
Native Hawaiian or Other Pacific Islander,NA,2020-03-01
Native Hawaiian or Other Pacific Islander,NA,2020-04-01
Native Hawaiian or Other Pacific Islander,NA,2020-05-01
Native Hawaiian or Other Pacific Islander,NA,2020-07-01
Native Hawaiian or Other Pacific Islander,NA,2020-08-01
Native Hawaiian or Other Pacific Islander,NA,2020-09-01
Native Hawaiian or Other Pacific Islander,NA,2020-10-01
Native Hawaiian or Other Pacific Islander,NA,2020-11-01
Native Hawaiian or Other Pacific Islander,NA,2021-01-01
Native Hawaiian or Other Pacific Islander,NA,2021-02-01
Native Hawaiian or Other Pacific Islander,NA,2021-03-01
Native Hawaiian or Other Pacific Islander,NA,2021-04-01
Native Hawaiian or Other Pacific Islander,NA,2021-05-01
Native Hawaiian or Other Pacific Islander,NA,2021-06-01
Native Hawaiian or Other Pacific Islander,NA,2021-07-01
Native Hawaiian or Other Pacific Islander,NA,2021-08-01
Native Hawaiian or Other Pacific Islander,NA,2021-10-01
Native Hawaiian or Other Pacific Islander,NA,2021-12-01
Native Hawaiian or Other Pacific Islander,NA,2022-01-01
Native Hawaiian or Other Pacific Islander,NA,2022-02-01
Native Hawaiian or Other Pacific Islander,NA,2022-03-01
Native Hawaiian or Other Pacific Islander,NA,2022-04-01
Native Hawaiian or Other Pacific Islander,NA,2022-05-01
Native Hawaiian or Other Pacific Islander,NA,2022-06-01
Native Hawaiian or Other Pacific Islander,NA,2022-07-01
Native Hawaiian or Other Pacific Islander,NA,2022-08-01
Native Hawaiian or Other Pacific Islander,NA,2022-09-01
Native Hawaiian or Other Pacific Islander,NA,2022-10-01
Native Hawaiian or Other Pacific Islander,NA,2022-11-01
Native Hawaiian or Other Pacific Islander,NA,2022-12-01
Native Hawaiian or Other Pacific Islander,NA,2023-01-01
Native Hawaiian or Other Pacific Islander,NA,2023-02-01
Native Hawaiian or Other Pacific Islander,NA,2023-03-01
Native Hawaiian or Other Pacific Islander,NA,2023-04-01
Native Hawaiian or Other Pacific Islander,NA,2023-05-01
Native Hawaiian or Other Pacific Islander,NA,2023-06-01
Native Hawaiian or Other Pacific Islander,NA,2023-07-01
Native Hawaiian or Other Pacific Islander,NA,2023-08-01
Native Hawaiian or Other Pacific Islander,NA,2023-09-01
Native Hawaiian or Other Pacific Islander,NA,2023-10-01
Native Hawaiian or Other Pacific Islander,NA,2023-11-01
Native Hawaiian or Other Pacific Islander,NA,2023-12-01
Not Available,NA,2018-01-01
Not Available,NA,2018-02-01
Not Available,NA,2018-03-01
Not Available,NA,2018-04-01
Not Available,NA,2018-05-01
Not Available,NA,2018-06-01
Not Available,NA,2018-07-01
Not Available,NA,2018-08-01
Not Available,NA,2018-09-01
Not Available,NA,2018-10-01
Not Available,NA,2018-11-01
Not Available,NA,2018-12-01
Not Available,NA,2019-01-01
Not Available,NA,2019-02-01
Not Available,NA,2019-03-01
Not Available,NA,2019-04-01
Not Available,NA,2019-05-01
Not Available,NA,2019-06-01
Not Available,NA,2019-07-01
Not Available,NA,2019-08-01
Not Available,NA,2019-09-01
Not Available,NA,2019-10-01
Not Available,NA,2019-11-01
Not Available,NA,2019-12-01
Not Available,NA,2020-01-01
Not Available,NA,2020-02-01
Not Available,NA,2020-03-01
Not Available,NA,2020-04-01
Not Available,NA,2020-05-01
Not Available,NA,2020-06-01
Not Available,NA,2020-07-01
Not Available,NA,2020-08-01
Not Available,NA,2020-09-01
Not Available,NA,2020-10-01
Not Available,NA,2020-11-01
Not Available,NA,2020-12-01
Not Available,NA,2021-01-01
Not Available,NA,2021-02-01
Not Available,NA,2021-03-01
Not Available,NA,2021-04-01
Not Available,NA,2021-05-01
Not Available,NA,2021-06-01
Not Available,NA,2021-07-01
Not Available,NA,2021-08-01
Not Available,NA,2021-09-01
Not Available,NA,2021-10-01
Not Available,NA,2021-11-01
Not Available,NA,2021-12-01
Not Available,NA,2022-01-01
Not Available,NA,2022-02-01
Not Available,NA,2022-03-01
Not Available,NA,2022-04-01
Not Available,NA,2022-05-01
Not Available,NA,2022-06-01
Not Available,NA,2022-07-01
Not Available,NA,2022-08-01
Not Available,NA,2022-09-01
Not Available,NA,2022-10-01
Not Available,NA,2022-11-01
Not Available,NA,2022-12-01
Not Available,NA,2023-01-01
Not Available,NA,2023-02-01
Not Available,NA,2023-03-01
Not Available,NA,2023-04-01
Not Available,NA,2023-05-01
Not Available,NA,2023-06-01
Not Available,NA,2023-07-01
Not Available,NA,2023-08-01
Not Available,NA,2023-09-01
Not Available,NA,2023-10-01
Not Available,NA,2023-11-01
Not Available,NA,2023-12-01
White,NA,2018-01-01
White,NA,2018-02-01
White,NA,2018-03-01
White,NA,2018-04-01
White,NA,2018-05-01
White,NA,2018-06-01
White,NA,2018-07-01
White,NA,2018-08-01
White,NA,2018-09-01
White,NA,2018-10-01
White,NA,2018-11-01
White,NA,2018-12-01
White,NA,2019-01-01
White,NA,2019-02-01
White,NA,2019-03-01
White,NA,2019-04-01
White,NA,2019-05-01
White,NA,2019-06-01
White,NA,2019-07-01
White,NA,2019-08-01
White,NA,2019-09-01
White,NA,2019-10-01
White,NA,2019-11-01
White,NA,2019-12-01
White,NA,2020-01-01
White,NA,2020-02-01
White,14,2020-11-01
White,18,2020-12-01
White,24,2021-01-01
White,22,2021-02-01
White,11,2021-03-01
White,12,2021-05-01
White,12,2021-07-01
White,102,2021-08-01
White,122,2021-09-01
White,60,2021-10-01
White,17,2021-11-01
White,13,2021-12-01
White,48,2022-01-01
White,26,2022-02-01
White,10,2023-01-01
White,NA,2023-05-01
White,NA,2023-06-01
White,NA,2023-11-01
