"Notes","MCD - ICD Chapter","MCD - ICD Chapter Code","Sex","Sex Code","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Certain infectious and parasitic diseases","A00-B99","Female","F","Jan., 2021","2021/01",69,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Female","F","Feb., 2021","2021/02",54,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Female","F","Mar., 2021","2021/03",44,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Female","F","Apr., 2021","2021/04",43,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Female","F","May, 2021","2021/05",51,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Female","F","Jun., 2021","2021/06",45,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Female","F","Jul., 2021","2021/07",44,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Female","F","Aug., 2021","2021/08",100,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Female","F","Sep., 2021","2021/09",102,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Female","F","Oct., 2021","2021/10",85,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Female","F","Nov., 2021","2021/11",66,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Female","F","Dec., 2021","2021/12",49,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Male","M","Jan., 2021","2021/01",98,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Male","M","Feb., 2021","2021/02",86,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Male","M","Mar., 2021","2021/03",80,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Male","M","Apr., 2021","2021/04",59,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Male","M","May, 2021","2021/05",65,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Male","M","Jun., 2021","2021/06",76,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Male","M","Jul., 2021","2021/07",89,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Male","M","Aug., 2021","2021/08",148,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Male","M","Sep., 2021","2021/09",223,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Male","M","Oct., 2021","2021/10",155,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Certain infectious and parasitic diseases","A00-B99","Male","M","Nov., 2021","2021/11",85,Not Applicable,Not Applicable,Not Applicable,Not Applicable
