"Notes","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Jan., 2018","2018/01",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2018","2018/02",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2018","2018/03",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2018","2018/04",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2018","2018/05",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2018","2018/06",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2018","2018/07",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2018","2018/08",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2018","2018/09",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2018","2018/10",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2018","2018/11",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2018","2018/12",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2019","2019/01",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2019","2019/02",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2019","2019/03",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2019","2019/04",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2019","2019/05",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2019","2019/06",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2019","2019/07",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2019","2019/08",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2019","2019/09",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2019","2019/10",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2019","2019/11",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2019","2019/12",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2020","2020/01",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2020","2020/02",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2020","2020/03",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2020","2020/04",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2020","2020/05",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2020","2020/06",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2020","2020/07",116,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2020","2020/08",65,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2020","2020/09",45,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2020","2020/10",51,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2020","2020/11",71,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2020","2020/12",90,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2021","2021/01",116,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2021","2021/02",84,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2021","2021/03",58,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2021","2021/04",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2021","2021/05",40,Not Applicable,Not Applicable,Not Applicable,Not Applicable
