"Notes","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Jan., 2018","2018/01",134,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2018","2018/02",112,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2018","2018/03",117,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2018","2018/04",120,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2018","2018/05",124,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2018","2018/06",116,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2018","2018/07",118,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2018","2018/08",113,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2018","2018/09",115,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2018","2018/10",100,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2018","2018/11",140,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2018","2018/12",111,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2019","2019/01",114,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2019","2019/02",102,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2019","2019/03",121,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2019","2019/04",132,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2019","2019/05",112,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2019","2019/06",126,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2019","2019/07",142,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2019","2019/08",136,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2019","2019/09",115,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2019","2019/10",107,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2019","2019/11",119,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2019","2019/12",156,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2020","2020/01",134,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2020","2020/02",112,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2020","2020/03",128,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2020","2020/04",127,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2020","2020/05",149,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2020","2020/06",159,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2020","2020/07",241,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2020","2020/08",191,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2020","2020/09",170,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2020","2020/10",152,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2020","2020/11",189,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2020","2020/12",202,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2021","2021/01",228,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2021","2021/02",163,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2021","2021/03",189,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2021","2021/04",169,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2021","2021/05",161,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2021","2021/06",174,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2021","2021/07",169,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2021","2021/08",340,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2021","2021/09",336,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2021","2021/10",245,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2021","2021/11",204,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2021","2021/12",194,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2022","2022/01",219,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2022","2022/02",166,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2022","2022/03",178,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2022","2022/04",145,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2022","2022/05",157,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2022","2022/06",158,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2022","2022/07",156,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2022","2022/08",135,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2022","2022/09",170,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2022","2022/10",137,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2022","2022/11",155,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2022","2022/12",189,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2023","2023/01",160,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2023","2023/02",157,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2023","2023/03",157,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2023","2023/04",164,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2023","2023/05",153,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2023","2023/06",161,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2023","2023/07",162,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2023","2023/08",160,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2023","2023/09",136,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2023","2023/10",165,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2023","2023/11",151,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2023","2023/12",160,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2024","2024/01",165,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2024","2024/02",171,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2024","2024/03",156,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2024","2024/04",157,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2024","2024/05",159,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2024","2024/06",162,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2024","2024/07",153,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2024","2024/08",148,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2024","2024/09",147,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2024","2024/10",155,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2024","2024/11",141,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2024","2024/12",140,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2025 (provisional)","2025/01",157,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2025 (provisional)","2025/02",161,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2025 (provisional)","2025/03",152,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2025 (provisional)","2025/04",115,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May., 2025 (provisional)","2025/05",162,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2025 (provisional)","2025/06",148,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2025 (provisional)","2025/07",138,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2025 (provisional)","2025/08",143,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2025 (provisional)","2025/09",150,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2025 (provisional)","2025/10",154,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2025 (provisional)","2025/11",151,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2025 (provisional)","2025/12",142,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2026 (provisional)","2026/01",144,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2026 (provisional and partial)","2026/02",77,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2026 (provisional and partial)","2026/03",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total",,,15127,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"Hispanic Origin: Hispanic or Latino"
"Residence States: Texas (48)"
"Sex: Female"
"Ten-Year Age Groups: 15-24 years; 25-34 years; 35-44 years"
"Group By: Month"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Mar 13, 2026 5:34:47 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2024,"
"and from provisional data for years 2025 and later, as compiled from data provided by the 57 vital statistics jurisdictions"
"through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Mar 13, 2026"
"5:34:47 PM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when location of Death's Occurrence, Autopsy, Place of Death, Weekday or"
"Month are grouped by or limited, due to lack of a valid population. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#NotApplicableRates."
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Not Stated."
"3. Deaths of persons with Hispanic origin ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among"
"Hispanic Origin groups, so are not included in the Hispanic Origin specific counts and rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Not Stated."
"4. Information included on the death certificate about the race and Hispanic ethnicity of the decedent is reported by the"
"funeral director as provided by an informant, often the surviving next of kin, or, in the absence of an informant, on the basis"
"of observation. Race and ethnicity information from the census is by self-report. To the extent that race and Hispanic origin"
"are inconsistent between these two data sources, death rates will be biased. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Racial Differences."
"5. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Confidence-Intervals."
"6. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
"7. Deaths occurring through February 28, 2026 as of March 08, 2026."
