"Notes","Month","Month Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Jan., 2018","2018/01","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Black or African American","2054-5",102,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","White","2106-3",190,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2018","2018/02","Asian","A",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2018","2018/02","Black or African American","2054-5",78,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2018","2018/02","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2018","2018/02","White","2106-3",172,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2018","2018/03","Black or African American","2054-5",68,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2018","2018/03","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2018","2018/03","White","2106-3",156,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2018","2018/04","Black or African American","2054-5",71,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2018","2018/04","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2018","2018/04","White","2106-3",134,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2018","2018/05","Black or African American","2054-5",77,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2018","2018/05","White","2106-3",167,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2018","2018/06","Black or African American","2054-5",67,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2018","2018/06","White","2106-3",160,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2018","2018/07","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2018","2018/07","Asian","A",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2018","2018/07","Black or African American","2054-5",74,Not Applicable,Not Applicable,Not Applicable,Not Applicable
