"Notes","Month","Month Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Jan., 2018","2018/01","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Asian","A",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","More than one race","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2018","2018/01","Not Available","999",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2018","2018/02","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2018","2018/02","Asian","A",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2018","2018/02","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2018","2018/02","More than one race","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2018","2018/02","Not Available","999",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2018","2018/03","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2018","2018/03","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2018","2018/03","More than one race","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2018","2018/03","Not Available","999",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2018","2018/04","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2018","2018/04","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2018","2018/04","More than one race","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2018","2018/04","Not Available","999",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2018","2018/05","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2018","2018/05","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2018","2018/05","More than one race","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2018","2018/05","Not Available","999",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2018","2018/06","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2018","2018/06","Asian","A",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2018","2018/06","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2018","2018/06","More than one race","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2018","2018/06","Not Available","999",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2018","2018/07","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2018","2018/07","Asian","A",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2018","2018/07","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2018","2018/07","White","2106-3",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2018","2018/07","More than one race","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2018","2018/07","Not Available","999",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2018","2018/08","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2018","2018/08","Asian","A",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2018","2018/08","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2018","2018/08","More than one race","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2018","2018/08","Not Available","999",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2018","2018/09","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2018","2018/09","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2018","2018/09","More than one race","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2018","2018/09","Not Available","999",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2018","2018/10","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2018","2018/10","Asian","A",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2018","2018/10","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2018","2018/10","More than one race","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2018","2018/10","Not Available","999",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2018","2018/11","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2018","2018/11","Asian","A",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2018","2018/11","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2018","2018/11","More than one race","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2018","2018/11","Not Available","999",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2018","2018/12","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2018","2018/12","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2018","2018/12","More than one race","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2018","2018/12","Not Available","999",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2019","2019/01","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2019","2019/01","Asian","A",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2019","2019/01","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2019","2019/01","More than one race","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2019","2019/01","Not Available","999",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2019","2019/02","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2019","2019/02","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2019","2019/02","More than one race","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2019","2019/02","Not Available","999",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2019","2019/03","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2019","2019/03","Asian","A",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2019","2019/03","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2019","2019/03","More than one race","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2019","2019/03","Not Available","999",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2019","2019/04","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2019","2019/04","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2019","2019/04","More than one race","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2019","2019/04","Not Available","999",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2019","2019/05","American Indian or Alaska Native","1002-5",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2019","2019/05","Asian","A",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2019","2019/05","Native Hawaiian or Other Pacific Islander","NHOPI",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2019","2019/05","More than one race","M",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2019","2019/05","Not Available","999",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
