"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jan., 1999","1999/01",23,Not Applicable,Not Applicable
,"Feb., 1999","1999/02",Suppressed,Not Applicable,Not Applicable
,"Mar., 1999","1999/03",17,Not Applicable,Not Applicable
,"Apr., 1999","1999/04",17,Not Applicable,Not Applicable
,"May, 1999","1999/05",23,Not Applicable,Not Applicable
,"Jun., 1999","1999/06",12,Not Applicable,Not Applicable
,"Jul., 1999","1999/07",16,Not Applicable,Not Applicable
,"Aug., 1999","1999/08",12,Not Applicable,Not Applicable
,"Sep., 1999","1999/09",17,Not Applicable,Not Applicable
,"Oct., 1999","1999/10",17,Not Applicable,Not Applicable
,"Nov., 1999","1999/11",16,Not Applicable,Not Applicable
,"Dec., 1999","1999/12",18,Not Applicable,Not Applicable
,"Jan., 2000","2000/01",13,Not Applicable,Not Applicable
,"Feb., 2000","2000/02",15,Not Applicable,Not Applicable
,"Mar., 2000","2000/03",21,Not Applicable,Not Applicable
,"Apr., 2000","2000/04",18,Not Applicable,Not Applicable
,"May, 2000","2000/05",12,Not Applicable,Not Applicable
,"Jun., 2000","2000/06",24,Not Applicable,Not Applicable
,"Jul., 2000","2000/07",13,Not Applicable,Not Applicable
,"Aug., 2000","2000/08",15,Not Applicable,Not Applicable
,"Sep., 2000","2000/09",13,Not Applicable,Not Applicable
,"Oct., 2000","2000/10",25,Not Applicable,Not Applicable
,"Nov., 2000","2000/11",17,Not Applicable,Not Applicable
,"Dec., 2000","2000/12",Suppressed,Not Applicable,Not Applicable
,"Jan., 2001","2001/01",17,Not Applicable,Not Applicable
,"Feb., 2001","2001/02",Suppressed,Not Applicable,Not Applicable
,"Mar., 2001","2001/03",17,Not Applicable,Not Applicable
,"Apr., 2001","2001/04",21,Not Applicable,Not Applicable
,"May, 2001","2001/05",15,Not Applicable,Not Applicable
,"Jun., 2001","2001/06",17,Not Applicable,Not Applicable
,"Jul., 2001","2001/07",30,Not Applicable,Not Applicable
,"Aug., 2001","2001/08",19,Not Applicable,Not Applicable
,"Sep., 2001","2001/09",15,Not Applicable,Not Applicable
,"Oct., 2001","2001/10",24,Not Applicable,Not Applicable
,"Nov., 2001","2001/11",10,Not Applicable,Not Applicable
,"Dec., 2001","2001/12",13,Not Applicable,Not Applicable
,"Jan., 2002","2002/01",25,Not Applicable,Not Applicable
,"Feb., 2002","2002/02",11,Not Applicable,Not Applicable
,"Mar., 2002","2002/03",19,Not Applicable,Not Applicable
,"Apr., 2002","2002/04",13,Not Applicable,Not Applicable
,"May, 2002","2002/05",15,Not Applicable,Not Applicable
,"Jun., 2002","2002/06",17,Not Applicable,Not Applicable
,"Jul., 2002","2002/07",15,Not Applicable,Not Applicable
,"Aug., 2002","2002/08",19,Not Applicable,Not Applicable
