"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jan., 1999","1999/01",73,Not Applicable,Not Applicable
,"Feb., 1999","1999/02",62,Not Applicable,Not Applicable
,"Mar., 1999","1999/03",53,Not Applicable,Not Applicable
,"Apr., 1999","1999/04",64,Not Applicable,Not Applicable
,"May, 1999","1999/05",64,Not Applicable,Not Applicable
,"Jun., 1999","1999/06",73,Not Applicable,Not Applicable
,"Jul., 1999","1999/07",46,Not Applicable,Not Applicable
,"Aug., 1999","1999/08",57,Not Applicable,Not Applicable
,"Sep., 1999","1999/09",67,Not Applicable,Not Applicable
,"Oct., 1999","1999/10",56,Not Applicable,Not Applicable
,"Nov., 1999","1999/11",49,Not Applicable,Not Applicable
,"Dec., 1999","1999/12",62,Not Applicable,Not Applicable
,"Jan., 2000","2000/01",60,Not Applicable,Not Applicable
,"Feb., 2000","2000/02",49,Not Applicable,Not Applicable
,"Mar., 2000","2000/03",58,Not Applicable,Not Applicable
,"Apr., 2000","2000/04",50,Not Applicable,Not Applicable
,"May, 2000","2000/05",61,Not Applicable,Not Applicable
,"Jun., 2000","2000/06",69,Not Applicable,Not Applicable
,"Jul., 2000","2000/07",75,Not Applicable,Not Applicable
,"Aug., 2000","2000/08",78,Not Applicable,Not Applicable
,"Sep., 2000","2000/09",75,Not Applicable,Not Applicable
,"Oct., 2000","2000/10",79,Not Applicable,Not Applicable
,"Nov., 2000","2000/11",46,Not Applicable,Not Applicable
,"Dec., 2000","2000/12",51,Not Applicable,Not Applicable
,"Jan., 2001","2001/01",52,Not Applicable,Not Applicable
,"Feb., 2001","2001/02",50,Not Applicable,Not Applicable
,"Mar., 2001","2001/03",62,Not Applicable,Not Applicable
,"Apr., 2001","2001/04",64,Not Applicable,Not Applicable
,"May, 2001","2001/05",57,Not Applicable,Not Applicable
,"Jun., 2001","2001/06",63,Not Applicable,Not Applicable
,"Jul., 2001","2001/07",71,Not Applicable,Not Applicable
,"Aug., 2001","2001/08",74,Not Applicable,Not Applicable
,"Sep., 2001","2001/09",71,Not Applicable,Not Applicable
,"Oct., 2001","2001/10",81,Not Applicable,Not Applicable
,"Nov., 2001","2001/11",64,Not Applicable,Not Applicable
,"Dec., 2001","2001/12",82,Not Applicable,Not Applicable
