"Notes","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Jan., 2018","2018/01",120,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2018","2018/02",81,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2018","2018/03",118,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2018","2018/04",100,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2018","2018/05",93,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2018","2018/06",104,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2018","2018/07",112,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2018","2018/08",105,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2018","2018/09",92,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2018","2018/10",79,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2018","2018/11",86,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2018","2018/12",92,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2019","2019/01",106,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2019","2019/02",105,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2019","2019/03",113,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2019","2019/04",84,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2019","2019/05",121,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2019","2019/06",118,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2019","2019/07",95,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2019","2019/08",108,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2019","2019/09",111,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2019","2019/10",117,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2019","2019/11",131,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2019","2019/12",135,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2020","2020/01",137,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2020","2020/02",108,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2020","2020/03",140,Not Applicable,Not Applicable,Not Applicable,Not Applicable
