"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jan., 2018","2018/01",436,Not Applicable,Not Applicable
,"Feb., 2018","2018/02",378,Not Applicable,Not Applicable
,"Mar., 2018","2018/03",354,Not Applicable,Not Applicable
,"Apr., 2018","2018/04",336,Not Applicable,Not Applicable
,"May, 2018","2018/05",380,Not Applicable,Not Applicable
,"Jun., 2018","2018/06",355,Not Applicable,Not Applicable
,"Jul., 2018","2018/07",384,Not Applicable,Not Applicable
,"Aug., 2018","2018/08",360,Not Applicable,Not Applicable
,"Sep., 2018","2018/09",371,Not Applicable,Not Applicable
,"Oct., 2018","2018/10",363,Not Applicable,Not Applicable
,"Nov., 2018","2018/11",371,Not Applicable,Not Applicable
,"Dec., 2018","2018/12",378,Not Applicable,Not Applicable
,"Jan., 2019","2019/01",374,Not Applicable,Not Applicable
,"Feb., 2019","2019/02",348,Not Applicable,Not Applicable
,"Mar., 2019","2019/03",390,Not Applicable,Not Applicable
,"Apr., 2019","2019/04",399,Not Applicable,Not Applicable
,"May, 2019","2019/05",367,Not Applicable,Not Applicable
,"Jun., 2019","2019/06",361,Not Applicable,Not Applicable
,"Jul., 2019","2019/07",377,Not Applicable,Not Applicable
,"Aug., 2019","2019/08",399,Not Applicable,Not Applicable
,"Sep., 2019","2019/09",364,Not Applicable,Not Applicable
,"Oct., 2019","2019/10",385,Not Applicable,Not Applicable
,"Nov., 2019","2019/11",397,Not Applicable,Not Applicable
,"Dec., 2019","2019/12",419,Not Applicable,Not Applicable
,"Jan., 2020","2020/01",428,Not Applicable,Not Applicable
,"Feb., 2020","2020/02",358,Not Applicable,Not Applicable
,"Mar., 2020","2020/03",385,Not Applicable,Not Applicable
,"Apr., 2020","2020/04",426,Not Applicable,Not Applicable
,"May, 2020","2020/05",430,Not Applicable,Not Applicable
,"Jun., 2020","2020/06",492,Not Applicable,Not Applicable
,"Jul., 2020","2020/07",595,Not Applicable,Not Applicable
,"Aug., 2020","2020/08",526,Not Applicable,Not Applicable
,"Sep., 2020","2020/09",483,Not Applicable,Not Applicable
,"Oct., 2020","2020/10",452,Not Applicable,Not Applicable
,"Nov., 2020","2020/11",522,Not Applicable,Not Applicable
,"Dec., 2020","2020/12",513,Not Applicable,Not Applicable
,"Jan., 2021","2021/01",582,Not Applicable,Not Applicable
,"Feb., 2021","2021/02",491,Not Applicable,Not Applicable
,"Mar., 2021","2021/03",554,Not Applicable,Not Applicable
,"Apr., 2021","2021/04",474,Not Applicable,Not Applicable
,"May, 2021","2021/05",500,Not Applicable,Not Applicable
,"Jun., 2021","2021/06",492,Not Applicable,Not Applicable
,"Jul., 2021","2021/07",504,Not Applicable,Not Applicable
,"Aug., 2021","2021/08",826,Not Applicable,Not Applicable
,"Sep., 2021","2021/09",859,Not Applicable,Not Applicable
,"Oct., 2021","2021/10",671,Not Applicable,Not Applicable
,"Nov., 2021","2021/11",491,Not Applicable,Not Applicable
,"Dec., 2021","2021/12",524,Not Applicable,Not Applicable
,"Jan., 2022","2022/01",619,Not Applicable,Not Applicable
,"Feb., 2022","2022/02",507,Not Applicable,Not Applicable
,"Mar., 2022","2022/03",528,Not Applicable,Not Applicable
,"Apr., 2022","2022/04",447,Not Applicable,Not Applicable
,"May, 2022","2022/05",494,Not Applicable,Not Applicable
,"Jun., 2022","2022/06",474,Not Applicable,Not Applicable
,"Jul., 2022","2022/07",510,Not Applicable,Not Applicable
,"Aug., 2022","2022/08",416,Not Applicable,Not Applicable
,"Sep., 2022","2022/09",501,Not Applicable,Not Applicable
,"Oct., 2022","2022/10",470,Not Applicable,Not Applicable
,"Nov., 2022","2022/11",473,Not Applicable,Not Applicable
,"Dec., 2022","2022/12",537,Not Applicable,Not Applicable
,"Jan., 2023","2023/01",477,Not Applicable,Not Applicable
,"Feb., 2023","2023/02",427,Not Applicable,Not Applicable
,"Mar., 2023","2023/03",460,Not Applicable,Not Applicable
,"Apr., 2023","2023/04",460,Not Applicable,Not Applicable
,"May, 2023","2023/05",501,Not Applicable,Not Applicable
,"Jun., 2023","2023/06",463,Not Applicable,Not Applicable
,"Jul., 2023","2023/07",471,Not Applicable,Not Applicable
,"Aug., 2023","2023/08",473,Not Applicable,Not Applicable
,"Sep., 2023","2023/09",456,Not Applicable,Not Applicable
,"Oct., 2023","2023/10",528,Not Applicable,Not Applicable
,"Nov., 2023","2023/11",482,Not Applicable,Not Applicable
,"Dec., 2023","2023/12",492,Not Applicable,Not Applicable
,"Jan., 2024 (provisional)","2024/01",458,Not Applicable,Not Applicable
,"Feb., 2024 (provisional)","2024/02",439,Not Applicable,Not Applicable
,"Mar., 2024 (provisional)","2024/03",443,Not Applicable,Not Applicable
,"Apr., 2024 (provisional)","2024/04",439,Not Applicable,Not Applicable
,"May, 2024 (provisional)","2024/05",479,Not Applicable,Not Applicable
,"Jun., 2024 (provisional)","2024/06",423,Not Applicable,Not Applicable
