"Notes","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Jan., 2018","2018/01",899,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2018","2018/02",726,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2018","2018/03",759,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2018","2018/04",741,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2018","2018/05",810,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2018","2018/06",835,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2018","2018/07",819,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2018","2018/08",742,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2018","2018/09",753,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2018","2018/10",750,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2018","2018/11",804,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2018","2018/12",734,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2019","2019/01",736,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2019","2019/02",711,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2019","2019/03",842,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2019","2019/04",795,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2019","2019/05",834,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2019","2019/06",796,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2019","2019/07",842,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2019","2019/08",799,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2019","2019/09",811,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2019","2019/10",833,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2019","2019/11",841,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2019","2019/12",877,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2020","2020/01",847,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2020","2020/02",809,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2020","2020/03",894,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2020","2020/04",902,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2020","2020/05",1046,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2020","2020/06",1086,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2020","2020/07",1284,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2020","2020/08",1207,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2020","2020/09",951,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2020","2020/10",1031,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2020","2020/11",1039,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2020","2020/12",1156,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2021","2021/01",1218,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2021","2021/02",1038,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2021","2021/03",1079,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2021","2021/04",1113,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2021","2021/05",1124,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2021","2021/06",1207,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2021","2021/07",1153,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2021","2021/08",1657,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2021","2021/09",1887,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2021","2021/10",1400,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2021","2021/11",1131,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2021","2021/12",1165,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2022","2022/01",1251,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2022","2022/02",1100,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2022","2022/03",1068,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2022","2022/04",978,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2022","2022/05",1078,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2022","2022/06",1128,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2022","2022/07",1200,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2022","2022/08",1141,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2022","2022/09",1034,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2022","2022/10",1012,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2022","2022/11",1006,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2022","2022/12",1111,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2023","2023/01",1121,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2023","2023/02",929,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2023","2023/03",1056,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2023","2023/04",994,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2023","2023/05",1065,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2023","2023/06",1095,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2023","2023/07",1125,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2023","2023/08",1096,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2023","2023/09",1047,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2023","2023/10",984,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2023","2023/11",941,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2023","2023/12",1016,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2024","2024/01",1063,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2024","2024/02",958,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2024","2024/03",1018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2024","2024/04",994,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May, 2024","2024/05",1028,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2024","2024/06",1024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2024","2024/07",1010,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2024","2024/08",1043,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2024","2024/09",924,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2024","2024/10",972,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2024","2024/11",927,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2024","2024/12",897,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2025 (provisional)","2025/01",900,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2025 (provisional)","2025/02",845,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mar., 2025 (provisional)","2025/03",929,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Apr., 2025 (provisional)","2025/04",891,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"May., 2025 (provisional)","2025/05",986,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jun., 2025 (provisional)","2025/06",980,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jul., 2025 (provisional)","2025/07",956,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Aug., 2025 (provisional)","2025/08",946,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Sep., 2025 (provisional)","2025/09",905,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Oct., 2025 (provisional)","2025/10",928,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Nov., 2025 (provisional)","2025/11",906,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Dec., 2025 (provisional)","2025/12",851,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jan., 2026 (provisional)","2026/01",779,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Feb., 2026 (provisional and partial)","2026/02",255,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total",,,96004,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"Five-Year Age Groups: 15-19 years; 20-24 years; 25-29 years; 30-34 years; 35-39 years; 40-44 years"
"Residence States: Texas (48)"
"Sex: Male"
"Group By: Month"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Mar 10, 2026 2:54:30 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2024,"
"and from provisional data for years 2025 and later, as compiled from data provided by the 57 vital statistics jurisdictions"
"through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Mar 10, 2026"
"2:54:30 AM"
"---"
Messages:
"1. Rows with zero Deaths are hidden, but the Population values in those rows are included in the totals. Use Quick Options above"
"to show zero rows."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when location of Death's Occurrence, Autopsy, Place of Death, Weekday or"
"Month are grouped by or limited, due to lack of a valid population. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#NotApplicableRates."
"2. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Not Stated."
"3. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Confidence-Intervals."
"4. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
"5. Deaths occurring through February 21, 2026 as of March 01, 2026."
